epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.26836,1.8353,4.3145,0.00404,0.00886,0.12643,0.0243,0.00871,1.58267,3.61969,0.00517,0.00027346,0.00027346,0.00027346
2,14.5238,1.75974,2.88241,0.00378,0.92592,0.1223,0.1258,0.07203,1.62881,2.0852,0.00515,0.00054567,0.00054567,0.00054567
3,18.9778,1.77601,2.24346,0.00363,0.76688,0.23035,0.1783,0.10123,1.58723,1.89283,0.00492,0.000812383,0.000812383,0.000812383
4,23.5241,1.76,2.06644,0.00346,0.65958,0.24516,0.21354,0.11117,1.60257,1.7894,0.00498,0.00080826,0.00080826,0.00080826
5,27.9264,1.73288,1.95119,0.0035,0.82752,0.23336,0.23232,0.1416,1.5615,1.59884,0.00477,0.000800013,0.000800013,0.000800013
6,32.3703,1.71948,1.85801,0.00341,0.86594,0.22935,0.28813,0.16786,1.55194,1.49285,0.00479,0.000791767,0.000791767,0.000791767
7,36.8831,1.73113,1.73111,0.00331,0.47031,0.32018,0.31212,0.17683,1.56277,1.43024,0.00475,0.00078352,0.00078352,0.00078352
8,41.2953,1.71242,1.66944,0.00337,0.62573,0.35311,0.34784,0.18745,1.56285,1.38578,0.00471,0.000775273,0.000775273,0.000775273
9,45.8262,1.7078,1.59571,0.0033,0.6402,0.3779,0.38073,0.21678,1.57508,1.31695,0.00482,0.000767026,0.000767026,0.000767026
10,50.3278,1.71345,1.52805,0.00333,0.46324,0.45154,0.43643,0.2513,1.56992,1.23214,0.00472,0.00075878,0.00075878,0.00075878
11,54.7178,1.71622,1.4673,0.00337,0.51686,0.49689,0.50656,0.28663,1.56185,1.18788,0.00473,0.000750533,0.000750533,0.000750533
12,59.1747,1.69907,1.42269,0.00336,0.55315,0.50443,0.52294,0.30345,1.56652,1.12735,0.00467,0.000742286,0.000742286,0.000742286
13,63.6455,1.71582,1.39227,0.00332,0.54446,0.5228,0.5502,0.31716,1.56201,1.09257,0.0047,0.00073404,0.00073404,0.00073404
14,68.2205,1.71292,1.32029,0.0032,0.54361,0.54546,0.55261,0.31634,1.56099,1.08651,0.00467,0.000725793,0.000725793,0.000725793
15,72.7602,1.69743,1.27986,0.00326,0.56417,0.55595,0.58139,0.33301,1.60215,1.03767,0.00472,0.000717546,0.000717546,0.000717546
16,77.3026,1.71272,1.25868,0.00334,0.58819,0.57486,0.59451,0.34323,1.57932,1.0321,0.00467,0.000709299,0.000709299,0.000709299
17,81.8379,1.72519,1.22478,0.00323,0.62208,0.56635,0.60263,0.34249,1.57564,0.99857,0.0047,0.000701053,0.000701053,0.000701053
18,86.3908,1.70192,1.19852,0.00315,0.59747,0.58381,0.6023,0.35221,1.58244,0.98383,0.00468,0.000692806,0.000692806,0.000692806
19,90.9319,1.68603,1.17236,0.00322,0.62297,0.61617,0.61974,0.35898,1.57301,0.96536,0.00462,0.000684559,0.000684559,0.000684559
20,95.8589,1.71359,1.14948,0.00324,0.6443,0.60781,0.62158,0.36156,1.56671,0.94979,0.00458,0.000676313,0.000676313,0.000676313
21,100.82,1.70637,1.14838,0.0032,0.62521,0.62631,0.62991,0.37394,1.55386,0.94675,0.00458,0.000668066,0.000668066,0.000668066
22,105.315,1.69647,1.10937,0.00321,0.69299,0.59811,0.63457,0.3653,1.59061,0.93304,0.00469,0.000659819,0.000659819,0.000659819
23,109.756,1.69515,1.09392,0.00319,0.69847,0.61459,0.65862,0.38124,1.5825,0.90659,0.00461,0.000651573,0.000651573,0.000651573
24,114.31,1.68517,1.08036,0.00319,0.70776,0.61991,0.65487,0.38179,1.57978,0.9043,0.00464,0.000643326,0.000643326,0.000643326
25,118.814,1.68166,1.04693,0.00315,0.77212,0.59102,0.66643,0.37624,1.61126,0.90246,0.00475,0.000635079,0.000635079,0.000635079
26,123.3,1.6956,1.03997,0.00324,0.77261,0.62684,0.67779,0.38982,1.58802,0.88198,0.00469,0.000626832,0.000626832,0.000626832
27,127.798,1.66578,1.02931,0.00321,0.72051,0.60337,0.66228,0.38758,1.57818,0.88609,0.00458,0.000618586,0.000618586,0.000618586
28,133.08,1.68895,1.01575,0.00319,0.70914,0.61672,0.66437,0.38605,1.58312,0.88105,0.00463,0.000610339,0.000610339,0.000610339
29,137.917,1.67575,1.01342,0.0031,0.73286,0.63301,0.67999,0.39818,1.57559,0.85672,0.00458,0.000602092,0.000602092,0.000602092
30,142.364,1.68156,0.99195,0.00306,0.73325,0.65453,0.68878,0.3925,1.58821,0.85191,0.0046,0.000593846,0.000593846,0.000593846
31,146.835,1.67203,0.98019,0.00312,0.71753,0.62615,0.67754,0.38678,1.5984,0.87917,0.00471,0.000585599,0.000585599,0.000585599
32,151.304,1.68179,0.97725,0.0031,0.74141,0.61561,0.67616,0.39322,1.59429,0.84612,0.00467,0.000577352,0.000577352,0.000577352
33,155.746,1.68259,0.96185,0.00317,0.71176,0.65354,0.6893,0.4006,1.58794,0.84604,0.00463,0.000569106,0.000569106,0.000569106
34,160.337,1.68936,0.97225,0.00309,0.71421,0.65822,0.69702,0.40175,1.57039,0.86461,0.00453,0.000560859,0.000560859,0.000560859
35,164.795,1.65943,0.95225,0.00307,0.72873,0.674,0.69409,0.40201,1.57848,0.82929,0.00452,0.000552612,0.000552612,0.000552612
36,170.373,1.67022,0.94499,0.0031,0.7737,0.65409,0.69684,0.40332,1.58574,0.82011,0.00459,0.000544365,0.000544365,0.000544365
37,175.543,1.66628,0.93759,0.00309,0.7415,0.65349,0.69796,0.40566,1.58347,0.84842,0.00456,0.000536119,0.000536119,0.000536119
