epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.97646,1.77137,2.31768,0.00356,0.49421,0.23873,0.26853,0.15414,1.66712,1.37392,0.00485,0.00027346,0.00027346,0.00027346
2,16.1073,1.69384,1.34675,0.00328,0.74446,0.47974,0.52703,0.31068,1.62606,0.89605,0.00456,0.00054567,0.00054567,0.00054567
3,22.7993,1.70161,1.01661,0.00321,0.65306,0.63223,0.64872,0.36497,1.65649,0.76671,0.0047,0.000812383,0.000812383,0.000812383
4,29.5268,1.68755,0.89005,0.0031,0.663,0.68866,0.69488,0.39254,1.58801,0.72839,0.0045,0.00080826,0.00080826,0.00080826
5,36.1331,1.68337,0.84122,0.00321,0.72787,0.6801,0.71752,0.40252,1.58447,0.72515,0.00451,0.000800013,0.000800013,0.000800013
6,42.7732,1.67202,0.80287,0.00315,0.82401,0.6878,0.74456,0.41798,1.56165,0.65189,0.00442,0.000791767,0.000791767,0.000791767
7,49.4969,1.66112,0.76274,0.00298,0.75311,0.73833,0.76424,0.43455,1.55806,0.64231,0.00439,0.00078352,0.00078352,0.00078352
8,56.1889,1.64029,0.72769,0.00306,0.80665,0.72906,0.77111,0.44548,1.5587,0.61467,0.00435,0.000775273,0.000775273,0.000775273
9,62.8078,1.63056,0.71112,0.00298,0.81144,0.72946,0.78137,0.4373,1.55754,0.61412,0.00438,0.000767026,0.000767026,0.000767026
10,69.4706,1.62306,0.68972,0.00298,0.79471,0.73702,0.77683,0.44562,1.5731,0.62377,0.00434,0.00075878,0.00075878,0.00075878
11,76.087,1.61278,0.68094,0.003,0.80063,0.74432,0.7814,0.43721,1.58058,0.60854,0.00446,0.000750533,0.000750533,0.000750533
12,82.6971,1.6027,0.67262,0.003,0.85023,0.76459,0.79609,0.45254,1.54766,0.58116,0.00429,0.000742286,0.000742286,0.000742286
13,89.3675,1.62983,0.67465,0.00299,0.86447,0.77302,0.81057,0.45155,1.57237,0.58279,0.00444,0.00073404,0.00073404,0.00073404
14,96.005,1.61219,0.67064,0.00285,0.87443,0.77758,0.81928,0.45993,1.55802,0.58137,0.00431,0.000725793,0.000725793,0.000725793
15,102.66,1.59386,0.65452,0.00289,0.87289,0.76271,0.80347,0.45028,1.54543,0.58502,0.00428,0.000717546,0.000717546,0.000717546
16,109.254,1.60148,0.64762,0.00294,0.81438,0.76269,0.79686,0.44768,1.57148,0.57722,0.00438,0.000709299,0.000709299,0.000709299
17,115.891,1.60942,0.64201,0.00285,0.84164,0.76746,0.80283,0.45717,1.55714,0.56598,0.00431,0.000701053,0.000701053,0.000701053
18,122.567,1.59951,0.63392,0.0028,0.82687,0.7987,0.82019,0.46317,1.55327,0.56575,0.00432,0.000692806,0.000692806,0.000692806
19,129.244,1.5707,0.62867,0.00285,0.86887,0.76458,0.8102,0.46303,1.55177,0.56757,0.00428,0.000684559,0.000684559,0.000684559
20,135.915,1.57915,0.61797,0.00283,0.88169,0.77239,0.82188,0.46544,1.54018,0.56081,0.00428,0.000676313,0.000676313,0.000676313
21,142.577,1.59758,0.63188,0.00285,0.83213,0.77554,0.81455,0.464,1.52982,0.5642,0.00423,0.000668066,0.000668066,0.000668066
22,149.229,1.57575,0.6055,0.00281,0.85799,0.79657,0.8252,0.46024,1.53703,0.56254,0.00425,0.000659819,0.000659819,0.000659819
23,155.848,1.56902,0.6047,0.00279,0.83265,0.79564,0.8164,0.46227,1.52708,0.54647,0.00422,0.000651573,0.000651573,0.000651573
24,162.574,1.566,0.60999,0.00279,0.84346,0.78737,0.81685,0.46552,1.53369,0.55832,0.00419,0.000643326,0.000643326,0.000643326
25,169.244,1.55852,0.59271,0.00277,0.87459,0.79736,0.82246,0.47258,1.55389,0.54856,0.00429,0.000635079,0.000635079,0.000635079
26,175.929,1.5539,0.59553,0.00281,0.8585,0.79857,0.82057,0.47509,1.54004,0.5467,0.00424,0.000626832,0.000626832,0.000626832
27,182.592,1.54657,0.5936,0.00285,0.84439,0.80218,0.8293,0.47356,1.54381,0.55822,0.00422,0.000618586,0.000618586,0.000618586
28,189.145,1.56211,0.59666,0.00284,0.82885,0.80248,0.82573,0.4663,1.53039,0.57995,0.00423,0.000610339,0.000610339,0.000610339
29,195.729,1.54858,0.58582,0.00275,0.83016,0.80625,0.82661,0.47471,1.53485,0.55743,0.00415,0.000602092,0.000602092,0.000602092
30,202.445,1.55934,0.5942,0.00271,0.8465,0.78619,0.81437,0.46224,1.54355,0.55862,0.00422,0.000593846,0.000593846,0.000593846
31,209.044,1.53288,0.57349,0.00272,0.85665,0.81743,0.83435,0.47865,1.54462,0.55603,0.00423,0.000585599,0.000585599,0.000585599
32,215.688,1.55663,0.59003,0.00273,0.85999,0.81415,0.83798,0.47301,1.54086,0.55063,0.0042,0.000577352,0.000577352,0.000577352
33,222.286,1.53087,0.57333,0.00275,0.87855,0.79907,0.84057,0.47424,1.54785,0.54966,0.00419,0.000569106,0.000569106,0.000569106
34,228.969,1.54025,0.59239,0.00268,0.84024,0.80682,0.83309,0.47293,1.52711,0.54986,0.00418,0.000560859,0.000560859,0.000560859
35,235.56,1.51013,0.57195,0.00266,0.85769,0.81018,0.82794,0.47362,1.52908,0.56343,0.00417,0.000552612,0.000552612,0.000552612
36,242.29,1.52335,0.5643,0.0027,0.84703,0.8125,0.82888,0.46429,1.55236,0.54198,0.00428,0.000544365,0.000544365,0.000544365
37,249.033,1.52312,0.55602,0.00269,0.86429,0.80131,0.8304,0.47123,1.53872,0.5404,0.00425,0.000536119,0.000536119,0.000536119
